Position,Points,Rider,Team,Time/Gap,Grand Prix,Year,Event
12.0,ND,J. McwilliamsJ. Mcwilliams,,+64.510,Event hun,2003.0,hun
13.0,ND,J. HopkinsJ. Hopkins,,+65.191,Event hun,2003.0,hun
14.0,ND,R. KiyonariR. Kiyonari,,+66.012,Event hun,2003.0,hun
15.0,ND,N. HagaN. Haga,,+66.154,Event hun,2003.0,hun
16.0,ND,N. HaydenN. Hayden,,+71.432,Event hun,2003.0,hun
17.0,ND,N. AokiN. Aoki,,+86.736,Event hun,2003.0,hun
18.0,ND,A. PittA. Pitt,,+87.016,Event hun,2003.0,hun
19.0,ND,G. MccoyG. Mccoy,,+87.450,Event hun,2003.0,hun
20.0,ND,D. GeaD. Gea,,+0.000,Event hun,2003.0,hun
,ND,O. JacqueO. Jacque,,28 Laps,Event hun,2003.0,hun
,ND,S. NakanoS. Nakano,,4 Laps,Event hun,2003.0,hun
,ND,T. UkawaT. Ukawa,,4 Laps,Event hun,2003.0,hun
,,,,,,2003.0,aut
1.0,ND,V. RossiV. Rossi,,47:13.078,Event aut,2003.0,aut
2.0,ND,S. GibernauS. Gibernau,,+0.681,Event aut,2003.0,aut
3.0,ND,L. CapirossiL. Capirossi,,+11.227,Event aut,2003.0,aut
4.0,ND,M. BiaggiM. Biaggi,,+16.293,Event aut,2003.0,aut
5.0,ND,C. ChecaC. Checa,,+20.868,Event aut,2003.0,aut
6.0,ND,A. BarrosA. Barros,,+30.851,Event aut,2003.0,aut
7.0,ND,T. BaylissT. Bayliss,,+37.770,Event aut,2003.0,aut
8.0,ND,C. EdwardsC. Edwards,,+38.922,Event aut,2003.0,aut
9.0,ND,N. AbeN. Abe,,+40.229,Event aut,2003.0,aut
10.0,ND,M. TamadaM. Tamada,,+46.500,Event aut,2003.0,aut
11.0,ND,K. JrK. Jr,,+61.496,Event aut,2003.0,aut
12.0,ND,J. McwilliamsJ. Mcwilliams,,+64.510,Event aut,2003.0,aut
13.0,ND,J. HopkinsJ. Hopkins,,+65.191,Event aut,2003.0,aut
14.0,ND,R. KiyonariR. Kiyonari,,+66.012,Event aut,2003.0,aut
15.0,ND,N. HagaN. Haga,,+66.154,Event aut,2003.0,aut
16.0,ND,N. HaydenN. Hayden,,+71.432,Event aut,2003.0,aut
17.0,ND,N. AokiN. Aoki,,+86.736,Event aut,2003.0,aut
18.0,ND,A. PittA. Pitt,,+87.016,Event aut,2003.0,aut
19.0,ND,G. MccoyG. Mccoy,,+87.450,Event aut,2003.0,aut
20.0,ND,D. GeaD. Gea,,+0.000,Event aut,2003.0,aut
,ND,O. JacqueO. Jacque,,28 Laps,Event aut,2003.0,aut
,ND,S. NakanoS. Nakano,,4 Laps,Event aut,2003.0,aut
,ND,T. UkawaT. Ukawa,,4 Laps,Event aut,2003.0,aut
,,,,,,2003.0,cze
1.0,ND,V. RossiV. Rossi,,44:18.907,Event cze,2003.0,cze
2.0,ND,S. GibernauS. Gibernau,,+0.042,Event cze,2003.0,cze
3.0,ND,T. BaylissT. Bayliss,,+0.668,Event cze,2003.0,cze
4.0,ND,C. ChecaC. Checa,,+5.390,Event cze,2003.0,cze
5.0,ND,M. BiaggiM. Biaggi,,+8.729,Event cze,2003.0,cze
6.0,ND,N. HaydenN. Hayden,,+11.043,Event cze,2003.0,cze
7.0,ND,A. BarrosA. Barros,,+11.439,Event cze,2003.0,cze
