Rider_normalized,Team,Year,Conditions,Track Conditions,Humidity_num,GroundTemp_num,proba_podio
Zarco,Monster Yamaha Tech 3,2017,Partly Cloudy,Dry,58.0,42.0,0.22666666666666666
Lorenzo,Ducati Team,2017,Partly Cloudy,Dry,58.0,42.0,0.4766666666666667
Pirro,Ducati Team,2017,Partly Cloudy,Dry,58.0,42.0,0.12666666666666668
Iannoneteam,Team SUZUKI ECSTAR,2017,Partly Cloudy,Dry,58.0,42.0,0.03666666666666667
Rabateg,"EG 0,0 Marc VDS",2017,Partly Cloudy,Dry,58.0,42.0,0.03333333333333333
Reddingocto,OCTO Pramac Racing,2017,Partly Cloudy,Dry,58.0,42.0,0.37666666666666665
Folgermonster,Monster Yamaha Tech 3,2017,Partly Cloudy,Dry,58.0,42.0,0.11
Barberareale,Reale Avintia Racing,2017,Partly Cloudy,Dry,58.0,42.0,0.013333333333333334
Miller,"EG 0,0 Marc VDS",2017,Partly Cloudy,Dry,58.0,42.0,0.03
Abrahampull,Pull&Bear Aspar Team,2017,Partly Cloudy,Dry,58.0,42.0,0.08
Guintoliteam,Team SUZUKI ECSTAR,2017,Partly Cloudy,Dry,58.0,42.0,0.05
Bazreale,Reale Avintia Racing,2017,Partly Cloudy,Dry,58.0,42.0,0.01
Lowesaprilia,Aprilia Racing Team Gresini,2017,Partly Cloudy,Dry,58.0,42.0,0.03666666666666667
Smithred,Red Bull KTM Factory Racing,2017,Partly Cloudy,Dry,58.0,42.0,0.05
Lorenzo,Ducati Team,2018,Clear,Dry,39.0,51.0,0.38666666666666666
Dovizioso,Ducati Team,2018,Clear,Dry,39.0,51.0,0.25666666666666665
Rossi,Movistar Yamaha MotoGP,2018,Clear,Dry,39.0,51.0,0.30666666666666664
Iannoneteam,Team SUZUKI ECSTAR,2018,Clear,Dry,39.0,51.0,0.03666666666666667
Rins,Team SUZUKI ECSTAR,2018,Clear,Dry,39.0,51.0,0.023333333333333334
Crutchlow,LCR Honda CASTROL,2018,Clear,Dry,39.0,51.0,0.02666666666666667
Petruccialma,Alma Pramac Racing,2018,Clear,Dry,39.0,51.0,0.02666666666666667
Alesmovistar,Movistar Yamaha MotoGP,2018,Clear,Dry,39.0,51.0,0.63
Bautistaangel,Angel Nieto Team,2018,Clear,Dry,39.0,51.0,0.043333333333333335
Zarco,Monster Yamaha Tech 3,2018,Clear,Dry,39.0,51.0,0.08333333333333333
Espargaro,Red Bull KTM Factory Racing,2018,Clear,Dry,39.0,51.0,0.02666666666666667
Syahrinmonster,Monster Yamaha Tech 3,2018,Clear,Dry,39.0,51.0,0.02666666666666667
Rabatreale,Reale Avintia Racing,2018,Clear,Dry,39.0,51.0,0.013333333333333334
Smithred,Red Bull KTM Factory Racing,2018,Clear,Dry,39.0,51.0,0.04666666666666667
Morbidelli,"EG 0,0 Marc VDS",2018,Clear,Dry,39.0,51.0,0.04666666666666667
Marquez,Repsol Honda Team,2018,Clear,Dry,39.0,51.0,0.8333333333333334
Simeonreale,Reale Avintia Racing,2018,Clear,Dry,39.0,51.0,0.01
Nakagami,LCR Honda IDEMITSU,2018,Clear,Dry,39.0,51.0,0.016666666666666666
Petruccimission,Mission Winnow Ducati,2019,Partly Cloudy,Dry,33.0,49.0,0.26
Marquez,Repsol Honda Team,2019,Partly Cloudy,Dry,33.0,49.0,0.31333333333333335
Dovizioso,Mission Winnow Ducati,2019,Partly Cloudy,Dry,33.0,49.0,0.41333333333333333
Rins,Team SUZUKI ECSTAR,2019,Partly Cloudy,Dry,33.0,49.0,0.06666666666666667
Nakagami,LCR Honda IDEMITSU,2019,Partly Cloudy,Dry,33.0,49.0,0.02
Viñales,Monster Energy Yamaha MotoGP,2019,Partly Cloudy,Dry,33.0,49.0,0.20666666666666667
Pirro,Mission Winnow Ducati,2019,Partly Cloudy,Dry,33.0,49.0,0.43333333333333335
Crutchlow,LCR Honda CASTROL,2019,Partly Cloudy,Dry,33.0,49.0,0.05
Espargaro,Red Bull KTM Factory Racing,2019,Partly Cloudy,Dry,33.0,49.0,0.07406189639082406
Quartararo,Petronas Yamaha SRT,2019,Partly Cloudy,Dry,33.0,49.0,0.22333333333333333
Espargaro,Aprilia Racing Team Gresini,2019,Partly Cloudy,Dry,33.0,49.0,0.016666666666666666
Mir,Team SUZUKI ECSTAR,2019,Partly Cloudy,Dry,33.0,49.0,0.10666666666666667
Lorenzo,Repsol Honda Team,2019,Partly Cloudy,Dry,33.0,49.0,0.23
Abrahamreale,Reale Avintia Racing,2019,Partly Cloudy,Dry,33.0,49.0,0.03
Iannoneaprilia,Aprilia Racing Team Gresini,2019,Partly Cloudy,Dry,33.0,49.0,0.01
